molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
10113568,0.8453608247419999,136,-0.020031593718254005,0.8425925925929999,109,-0.14438883215272363
10125875,0.902173913043,313,-0.011797403938910003,0.56338028169,20,-0.28310629708859997
10133732,0.9019607843140001,311,-0.013829337679722997,0.7978723404260001,78,-0.14060650834853294
10158653,0.8404255319149999,115,-0.020609444812168004,0.859813084112,181,-0.11113700347045902
10160775,0.8571428571430001,170,-0.021379957805883996,0.8425925925929999,111,-0.12641487906737003
10171618,0.881720430108,261,-0.011728053089436998,0.670886075949,48,-0.217116218063404
10173796,0.841584158416,122,-0.013453885162790998,informer,informer,informer
10193464,0.92,336,-0.008943536143594,0.6375,38,-0.21988916764128605
10193482,0.909090909091,325,-0.010512629213268995,0.527027027027,10,-0.29574891931440006
10200651,0.8877551020409999,279,-0.020831865580748003,0.8807339449539999,265,-0.10589323526058504
10215776,0.875,236,-0.011883398051064998,0.486111111111,6,-0.32578817609058003
10236195,0.860465116279,187,-0.014336091161605998,0.62962962963,23,-0.183647628999372
10272700,0.826530612245,76,-0.019089832062805998,0.828282828283,136,-0.14707020429342393
10286242,0.863636363636,197,-0.013156571477698,0.492537313433,8,-0.321599063212319
10294883,0.875,237,-0.013686113363859997,0.8279569892470001,134,-0.13277667295206694
10295475,0.8842105263160001,271,-0.019697419589836,0.877358490566,253,-0.09183301464598498
10308522,0.9072164948450001,319,-0.012932284503063994,informer,informer,informer
10321190,0.883495145631,270,-0.013391862470206,0.851485148515,218,-0.122995207880251
10469531,0.8804347826090001,253,-0.018267527475524997,0.8571428571430001,240,-0.11712030044758998
10475737,0.8842105263160001,272,-0.013758534302671994,0.8241758241760001,124,-0.13218315181848797
11155941,0.81914893617,60,-0.015641406744466003,0.8210526315790001,116,-0.15829378699345698
11163861,0.844444444444,132,-0.013812533976119,informer,informer,informer
11231939,0.8414634146340001,121,-0.014836243938797997,0.8705882352940001,292,-0.11777852863396297
11233873,0.8877551020409999,280,-0.018114935264407998,0.8421052631579999,182,-0.12537238838664802
11244488,0.80487804878,37,-0.016895591901735,0.821428571429,118,-0.14312575213259798
11247002,0.9,308,-0.015932915628708997,0.8556701030930001,238,-0.11194334712291698
11269477,0.87,222,-0.018288596681086,0.8484848484849999,212,-0.122886494328471
11273032,0.820512820513,64,-0.020346177137047,0.847328244275,125,-0.13085460030403698
11281930,0.863157894737,194,-0.016425465178090997,0.87962962963,257,-0.10887331352747702
11284937,0.8278688524590001,78,-0.019012502073829998,0.848,147,-0.1287616634403
11290221,0.873563218391,231,-0.017238396833915,0.862068965517,260,-0.11810883371063201
11307581,0.8220338983050001,69,-0.019952970813288,0.8484848484849999,135,-0.12971117295518197
11328632,0.782608695652,23,-0.016371626288719,0.7717391304350001,60,-0.18023656614894695
11392350,0.9111111111110001,328,-0.014580983755606994,0.8352941176469999,154,-0.12469882047325404
11453116,0.86,185,-0.018309398131099004,0.826530612245,128,-0.131048520003258
11473228,0.865168539326,204,-0.015488375004595996,0.85393258427,226,-0.119823356965962
11502866,0.84693877551,145,-0.017738985688941,0.86,209,-0.12242029468868802
11569498,0.858490566038,176,-0.018522979995498,0.826923076923,130,-0.13467553398953097
11604319,0.8877551020409999,281,-0.013120656322612001,0.829787234043,138,-0.13168082195762398
11605761,0.820754716981,67,-0.020022731364338,0.85,139,-0.12708659220693103
11617559,0.765432098765,21,-0.016342277120914,0.87,231,-0.109574384823061
11626927,0.486842105263,14,-0.026258729890321,0.8571428571430001,169,-0.10520327766036097
11627264,0.8317757009350001,89,-0.020064642935644996,0.830508474576,89,-0.142260187772139
11640889,0.858490566038,177,-0.017646350661835,0.838095238095,157,-0.13742935361489203
11656050,0.817307692308,58,-0.021034145862272993,0.847457627119,129,-0.13234907969840498
11669455,0.84,114,-0.018018980488334998,0.8584070796459999,173,-0.12234268742697305
11680113,0.880952380952,259,-0.012818623942101993,0.7558139534880001,43,-0.15385699298979597
11717091,0.872093023256,226,-0.014879749275383998,0.860465116279,252,-0.12195691993162297
11751266,0.873786407767,234,-0.016822357313844002,0.83,142,-0.13124334563047202
11957417,0.424657534247,11,-0.029036256060450995,0.836363636364,93,-0.11414163834754601
11959377,0.894230769231,292,-0.011131983316316,0.47619047618999993,7,-0.21058994518097401
11959682,0.811881188119,47,-0.015412823328129998,0.294871794872,1,-0.26907052256265496
11959683,0.811881188119,48,-0.015412823328129998,0.294871794872,3,-0.26907052256265496
15872388,0.877551020408,243,-0.014143885018204003,0.831578947368,144,-0.13356869770434002
15872391,0.903846153846,316,-0.013208210180622999,0.8613861386139999,256,-0.11208787899834004
15872400,0.88,249,-0.014057941442555002,0.835051546392,150,-0.13096757137559606
15872403,0.88679245283,277,-0.012711805590076002,0.844660194175,194,-0.12381702574478999
15872404,0.881188118812,260,-0.014483128189688,0.824742268041,126,-0.13471616002340298
15872406,0.8105263157889999,42,-0.016304169329242002,0.8367346938779999,160,-0.13401363372191502
15872407,0.854368932039,165,-0.015397474166263001,0.7979797979800001,80,-0.14933870866918297
15872408,0.892156862745,286,-0.013510682858002006,0.8484848484849999,214,-0.11790568908210505
15872409,0.885714285714,276,-0.013709138435020998,0.854368932039,234,-0.117582106243956
16048194,0.8488372093019999,150,-0.026660390118671003,0.868686868687,221,-0.10867157343097403
16048415,0.835443037975,96,-0.033499880968875,0.858695652174,175,-0.10143443286356198
16051023,0.619565217391,19,-0.022685881403933003,0.852459016393,141,-0.12543898094996497
16099859,0.836363636364,98,-0.018267343998698997,0.644230769231,25,-0.199105170995124
16219401,0.8777777777779999,244,-0.012940891286947004,0.827586206897,132,-0.137247162812486
16236469,0.917525773196,334,-0.020580732966695,0.917431192661,345,-0.05837025591241801
16664858,0.871287128713,224,-0.028456848902961997,0.866071428571,215,-0.11277468539448299
17892742,0.88,250,-0.014787539802232998,0.670588235294,46,-0.210995364660118
18536613,0.8823529411759999,265,-0.013078837052085004,0.8383838383840001,168,-0.127188159054688
18536627,0.9019607843140001,312,-0.012725812639743,0.858585858586,246,-0.109457094950614
21701565,0.7951807228919999,29,-0.01769777770336,0.865168539326,264,-0.124023050776328
21951965,0.810810810811,44,-0.023461649711251,0.801801801802,88,-0.147662719462281
22464113,0.882978723404,269,-0.014143805792525003,0.7816091954019999,68,-0.148169668966585
22464120,0.8804347826090001,254,-0.014833156437126,0.844444444444,192,-0.12473365080072199
22609796,0.851063829787,153,-0.018185871526300003,0.864583333333,259,-0.12497315077684902
22727427,0.867346938776,214,-0.015759253162126,0.833333333333,146,-0.138756990031339
23646936,0.847826086957,147,-0.018731985191377996,0.833333333333,91,-0.14837317136760203
23646938,0.8387096774189999,109,-0.020798659016014003,0.8252427184469999,71,-0.15656447683087799
24180608,0.852631578947,158,-0.014662006701905,0.877551020408,295,-0.11178659478584796
24856364,0.865384615385,207,-0.017980370305321,0.8217821782179999,120,-0.14088848804608606
24896610,0.863157894737,195,-0.019128878006918995,0.775280898876,66,-0.165583832601096
24949545,0.843137254902,130,-0.015957271859622,0.7731958762890001,62,-0.17306217981671496
25023715,0.888888888889,283,-0.014151203301208,0.7052631578949999,33,-0.13876222323685003
25093474,0.8426966292129999,129,-0.019937297485393003,0.862745098039,191,-0.109354533467
25190921,0.8842105263160001,273,-0.024348756719623,0.877358490566,255,-0.10520728726131598
25190924,0.75,20,-0.028298007020577,0.8804347826090001,263,-0.09633731871161497
25190926,0.837209302326,106,-0.021932512627968997,0.9029126213590001,325,-0.08068012373976102
25210971,0.787037037037,24,-0.018807924369755,0.810810810811,100,-0.14587630235877697
25210972,0.801801801802,34,-0.016892047078942,0.844827586207,196,-0.128739703234379
25211574,0.8113207547169999,46,-0.019280678316663996,0.860655737705,185,-0.12295805455543901
25218571,0.8157894736839999,55,-0.018547225525898006,0.837606837607,166,-0.137761734789424
25218573,0.81308411215,50,-0.018548805157079004,0.852459016393,143,-0.12448319992546601
25218584,0.820512820513,65,-0.018763852120838004,0.8416666666670001,180,-0.13288527322894395
25218593,0.846846846847,143,-0.018910371749298,0.844262295082,117,-0.133651714436484
25218600,0.8,33,-0.019446153898514996,informer,informer,informer
25218601,0.794392523364,28,-0.019788079101251,informer,informer,informer
25218621,0.84347826087,131,-0.016975885554380996,0.844827586207,198,-0.13073408833531094
25263078,0.43661971831,13,-0.030337343594004994,0.8301886792450001,85,-0.134538861610989
25263083,0.41176470588200004,9,-0.029505697115935,0.847619047619,131,-0.11169232408151303
25263087,0.366197183099,7,-0.031108427935372995,0.827272727273,77,-0.12585608456965597
25263088,0.366197183099,8,-0.031636173260557995,0.827272727273,79,-0.12630689643974197
25263092,0.234375,4,-0.035140136305731,0.844036697248,115,-0.113375212399218
25263099,0.34328358209,6,-0.032543778753137007,0.8190476190479999,61,-0.12169940628436499
25263103,0.328358208955,5,-0.031993293566085,0.8425925925929999,113,-0.11901154669820205
25263110,0.15873015873,1,-0.037374927212884,0.827272727273,81,-0.150843962237701
25263114,0.131147540984,0,-0.037376096274394005,0.824074074074,69,-0.14774382780457193
25263115,0.184615384615,2,-0.03685320806382399,0.8303571428569999,87,-0.14873570950293502
25263116,0.184615384615,3,-0.03552261779039399,0.81981981982,63,-0.145546396752237
25263117,0.424657534247,12,-0.029036256060450995,0.836363636364,95,-0.11414163834754601
